numforgame,rowforgame,rowforextra,inning,away,home,rem_type,base1,base2,base3,id,Player,direction,result,out,follow.up,special,log
1,42,1,3下,義大(1),(3)統一,9,NA,鄧志偉,NA,,,,投手暴投,二出局,1,warning,義大(1):(3)統一投手暴投，跑者鄧志偉上到三壘
1,43,1,3下,義大(1),(3)統一,12,NA,NA,鄧志偉,第五棒,陳鏞基,內,內野安打,二出局,1,,5.第五棒SS陳鏞基:游擊方向滾地球，形成內野安打，帶有一分打點
1,44,1,3下,義大(1),(3)統一,6,陳鏞基,NA,NA,第六棒,高國慶,右,接殺,二出局,1,,6.第六棒1B高國慶:右外野飛球遭到接殺，三出局
1,45,1,3下,義大(1),(4)統一,,NA,NA,NA,,,,,NA,,,義大(1):(4)統一
1,46,1,4上,義大(1),(4)統一,,NA,NA,NA,,,,,NA,,,4上
1,47,1,4上,義大(1),(4)統一,1,NA,NA,NA,第四棒,林益全,內,封殺,零出局,3,,1.第四棒DH林益全:內野滾地球，SS接到傳向一壘，一出局
1,48,1,4上,義大(1),(4)統一,2,NA,NA,NA,第五棒,鄭兆行,內,封殺,一出局,3,,2.第五棒3B鄭兆行:內野滾地球，2B接到傳向一壘，二出局
1,49,1,4上,義大(1),(4)統一,3,NA,NA,NA,第六棒,張建銘,右,一壘安打,二出局,3,,3.第六棒RF張建銘:右外野一壘安打
1,50,1,4上,義大(1),(4)統一,6,張建銘,NA,NA,第七棒,陳凱倫,內,內野安打,二出局,3,,4.第七棒2B陳凱倫:游擊方向滾地球，形成內野安打
1,51,1,4上,義大(1),(4)統一,15,陳凱倫,張建銘,NA,第八棒,林琨笙,左,二壘安打,二出局,3,,5.第八棒C林琨笙:左外野二壘安打，帶有2分打點
1,52,1,4上,義大(3),(4)統一,,NA,NA,NA,,,,,NA,,,義大(3):(4)統一
1,53,1,4上,義大(3),(4)統一,9,NA,林琨笙,NA,第九棒,林威廷,中,二壘安打,二出局,1,,6.第九棒SS林威廷:中外野二壘安打，帶有一分打點
1,54,1,4上,義大(4),(4)統一,,NA,NA,NA,,,,,NA,,,義大(4):(4)統一
1,55,1,4上,義大(4),(4)統一,9,NA,林威廷,NA,第一棒,胡金龍,內,封殺,二出局,0,,7.第一棒CF胡金龍:內野滾地球，1B接到傳給補位的投手，三出局
