"","out0","out1","out2"
"empty",0.464609800362976,0.278336686787391,0.114217252396166
"1B",0.817796610169492,0.612530915086562,0.19550858652576
"2B",0.99622641509434,0.611691022964509,0.323024054982818
"3B",1.16666666666667,0.711864406779661,0.289617486338798
"1B_2B",1.46385542168675,1.01217038539554,0.306832298136646
"1B_3B",1.22352941176471,0.980891719745223,0.288135593220339
"2B_3B",1.50704225352113,1.15333333333333,0.524096385542169
"1B_2B_3B",1.92682926829268,1.37575757575758,0.475982532751092
