"numforgame","rowforgame","rowforextra","inning","away","home","rem_type","base1","base2","base3","id","Player","direction","result","out","follow.up","special","log"
17,49,1,"4下","統一(3)","(0)兄弟",4,"周思齊",NA,NA,"第四棒","彭政閔","內","雙殺","零出局",0,"","2.第四棒1B彭政閔:二壘方向滾地球形成雙殺，二出局"
17,73,1,"6下","統一(4)","(0)兄弟",2,NA,NA,NA,"第四棒","彭政閔","內","刺殺","一出局",0,"","2.第四棒1B彭政閔:一壘方向滾地球遭到刺殺，二出局"
17,101,1,"9下","統一(4)","(0)兄弟",1,NA,NA,NA,"第四棒","彭政閔","內","刺殺","零出局",0,"","1.第四棒1B彭政閔:二壘方向滾地球遭到刺殺，一出局"
18,6,1,"1上","兄弟(1)","(0)義大",3,NA,NA,NA,"第四棒","彭政閔","左","刺殺","二出局",0,"","4.第四棒1B彭政閔:游擊方向滾地球遭刺殺，三出局"
18,31,1,"4上","兄弟(1)","(0)義大",3,NA,NA,NA,"第四棒","彭政閔","右","二壘安打","二出局",0,"","3.第四棒1B彭政閔:右外野二壘安打，二壘有人"
18,62,1,"7上","兄弟(1)","(1)義大",7,NA,"周思齊",NA,"第四棒","彭政閔","","三振","零出局",0,"","2.第四棒1B彭政閔:三振，一出局"
18,78,1,"8上","兄弟(2)","(1)義大",24,"周思齊","郭健瑜","徐睿擇","第四棒","彭政閔","中","接殺","二出局",0,"","7.第四棒1B彭政閔:中外野高飛球遭接殺，三出局"
20,14,1,"2上","兄弟(0)","(1)義大",1,NA,NA,NA,"第四棒","彭政閔","左","一壘安打","零出局",1,"","1.第四棒1B彭政閔:左外野一壘安打，一壘有人"
20,16,1,"2上","兄弟(0)","(1)義大",6,"彭政閔",NA,NA,"第六棒","林威助","中","接殺盜壘失敗","二出局",1,"warning","3.第六棒DH林威助:中外野高飛球遭接殺，二出局彭政閔盜壘失敗，三出局"
20,36,1,"4上","兄弟(0)","(1)義大",3,NA,NA,NA,"第四棒","彭政閔","內","刺殺","二出局",0,"","3.第四棒1B彭政閔:三壘方向滾地球遭刺殺，三出局"
20,64,1,"7上","兄弟(0)","(1)義大",2,NA,NA,NA,"第四棒","彭政閔","右","接殺","一出局",0,"","2.第四棒1B彭政閔:右外野高飛球遭接殺，二出局"
20,88,1,"9上","兄弟(0)","(1)義大",4,"周思齊",NA,NA,"第四棒","彭政閔","左","一壘安打","零出局",1,"","2.第四棒1B彭政閔:左外野一壘安打，一二壘有人"
20,110,1,"11上","兄弟(1)","(1)義大",1,NA,NA,NA,"第四棒","彭政閔","內","刺殺","零出局",0,"","1.第四棒1B彭政閔:三壘方向滾地球遭刺殺，一出局"
22,6,1,"1上","兄弟(1)","(0)義大",17,"郭建瑜",NA,"張正偉","第四棒","彭政閔","","三振","一出局",0,"","4.第四棒1B彭政閔:三振，二出局"
22,34,1,"4上","兄弟(1)","(0)義大",2,NA,NA,NA,"第四棒","彭政閔","左","刺殺","一出局",0,"","2.第四棒1B彭政閔:游擊方向滾地球遭刺殺，二出局"
22,54,1,"6上","兄弟(1)","(0)義大",2,NA,NA,NA,"第四棒","彭政閔","中","一壘安打","一出局",0,"","2.第四棒1B彭政閔:中外野一壘安打，一壘有人"
22,80,1,"8上","兄弟(2)","(2)義大",2,NA,NA,NA,"第四棒","彭政閔","內","刺殺","一出局",0,"","2.第四棒1B彭政閔:二壘方向滾地球遭刺殺，二出局"
25,14,1,"2上","兄弟(0)","(0)桃猿",1,NA,NA,NA,"第四棒","彭政閔","中","一壘安打","零出局",0,"","1.第四棒彭政閔:中間方向穿越一壘安打"
